Sample Name,Location,Site,Species,Date Collected,Sample Type,Latitude,Longitude,Tissue N (% dry mass),C:N,Tissue ?15N (‰)
HMA11U1,Honomanu Bay,HMA-11,Ulva spp.,7/10/2013,Deployed,20.86152000,-156.16447000,1.4,19.4,6.2
HMA12U1,Honomanu Bay,HMA-12,Ulva spp.,7/10/2013,Deployed,20.86168000,-156.16508000,1.4,18.4,6.4
HMA13U1,Honomanu Bay,HMA-13,Ulva spp.,7/10/2013,Deployed,20.86202000,-156.16567000,1.5,18.9,6.8
HMA14U1,Honomanu Bay,HMA-14,Ulva spp.,7/10/2013,Deployed,20.86242000,-156.16612000,1.1,24.0,7.0
HMA16U1,Honomanu Bay,HMA-16,Ulva spp.,7/10/2013,Deployed,20.86137000,-156.16590000,1.1,22.5,6.1
HMA17U1,Honomanu Bay,HMA-17,Ulva spp.,7/10/2013,Deployed,20.86537000,-156.16423000,1.1,26.5,6.3
HMA18U1,Honomanu Bay,HMA-18,Ulva spp.,7/10/2013,Deployed,20.86348000,-156.16508000,1.2,23.7,7.3
HMA19U1,Honomanu Bay,HMA-19,Ulva spp.,7/10/2013,Deployed,20.86280000,-156.16532000,1.3,21.4,7.2
HMA20U1,Honomanu Bay,HMA-20,Ulva spp.,7/10/2013,Deployed,20.86235000,-156.16547000,1.1,25.5,5.9
KWA14U1,Kahului Bay,KWA-14,Ulva spp.,7/25/2013,Deployed,20.90288000,-156.45728000,1.8,14.0,5.7
KWA17U1,Kahului Bay,KWA-17,Ulva spp.,7/25/2013,Deployed,20.89845000,-156.46176000,3.1,9.3,9.1
KWA18U1,Kahului Bay,KWA-18,Ulva spp.,7/25/2013,Deployed,20.89860000,-156.46455000,3.5,8.2,7.4
KWA19U1,Kahului Bay,KWA-19,Ulva spp.,7/25/2013,Deployed,20.90141000,-156.46483000,1.3,19.3,6.2
KWA20U1,Kahului Bay,KWA-20,Ulva spp.,7/25/2013,Deployed,20.90505000,-156.46538000,3.1,18.5,6.8
KWA21U1,Kahului Bay,KWA-21,Ulva spp.,7/25/2013,Deployed,20.90552000,-156.45685000,1.5,19.3,6.0
KWA23U1,Kahului Bay,KWA-23,Ulva spp.,7/25/2013,Deployed,20.90092000,-156.45730000,1.7,15.4,6.4
KWA24U1,Kahului Bay,KWA-24,Ulva spp.,7/25/2013,Deployed,20.89945000,-156.45715000,1.7,15.9,8.3
KWA25U1,Kahului Bay,KWA-25,Ulva spp.,7/25/2013,Deployed,20.89847000,-156.45924000,2.6,10.4,9.7
KWA26U1,Kahului Bay,KWA-26,Ulva spp.,7/25/2013,Deployed,20.89855000,-156.45712000,2.4,11.7,8.7
KWA27U1,Kahului Bay,KWA-27,Ulva spp.,7/25/2013,Deployed,20.89827000,-156.45457000,3.0,9.5,8.9
KWA28U1,Kahului Bay,KWA-28,Ulva spp.,7/25/2013,Deployed,20.89826000,-156.45160000,3.1,8.8,7.1
KWA29U1,Kahului Bay,KWA-29,Ulva spp.,7/25/2013,Deployed,20.90474000,-156.44746000,2.2,12.5,5.4
KWA30U1,Kahului Bay,KWA-30,Ulva spp.,7/25/2013,Deployed,20.90159000,-156.44748000,2.5,11.0,5.9
KWA31U1,Kahului Bay,KWA-31,Ulva spp.,7/25/2013,Deployed,20.89939000,-156.44702000,3.4,8.9,6.3
KWA32U1,Kahului Bay,KWA-32,Ulva spp.,7/25/2013,Deployed,20.90085000,-156.44133000,3.5,8.5,5.8
TVA10U2,Kuau Bay,TVA-10,Ulva spp.,7/10/2013,Deployed,20.92723000,-156.37257000,1.9,13.8,5.3
TVA1U2,Kuau Bay,TVA-1,Ulva spp.,7/10/2013,Deployed,20.92255000,-156.37508000,3.3,9.0,3.1
TVA2U2,Kuau Bay,TVA-2,Ulva spp.,7/10/2013,Deployed,20.92283000,-156.37433000,3.6,8.4,3.6
TVA3U2,Kuau Bay,TVA-3,Ulva spp.,7/10/2013,Deployed,20.92317000,-156.37350000,3.5,8.6,3.9
TVA4U3,Kuau Bay,TVA-4,Ulva spp.,7/10/2013,Deployed,20.92430000,-156.37173000,2.8,10.0,5.1
TVA5U2,Kuau Bay,TVA-5,Ulva spp.,7/10/2013,Deployed,20.92622000,-156.37012000,3.5,8.4,3.8
TVA6U2,Kuau Bay,TVA-6,Ulva spp.,7/10/2013,Deployed,20.92278000,-156.37535000,3.2,9.4,4.4
TVA7U2,Kuau Bay,TVA-7,Ulva spp.,7/10/2013,Deployed,20.92635000,-156.37040000,2.9,9.5,4.5
TVA8U2,Kuau Bay,TVA-8,Ulva spp.,7/10/2013,Deployed,20.92652000,-156.37090000,2.3,11.3,5.3
TVA9U2,Kuau Bay,TVA-9,Ulva spp.,7/10/2013,Deployed,20.92677000,-156.37143000,2.5,10.7,5.0
WA10U1,Waiehu Bay,WBA-31,Ulva spp.,7/25/2013,Deployed,20.91048000,-156.48790000,1.1,23.9,7.4
WA11U1,Waiehu Bay,WBA-32,Ulva spp.,7/25/2013,Deployed,20.91110000,-156.48633000,1.5,19.1,7.3
WA1U1,Waiehu Bay,WBA-23,Ulva spp.,7/25/2013,Deployed,20.91673000,-156.49157000,1.0,28.3,5.5
