Location,Site,Transect,Latitude,Longitude,Date ,Time,Coral,Macroaglae,Turf Algae,CCA,Abiotic,Invertebrates Other Bio,Total points
Honolua Bay,HB1,1,21.0135339,-156.6397443,04/01/14,12:00 PM,54,13,141,14,24,4,250
Honolua Bay,HB1,2,21.0135458,-156.6396621,04/01/14,12:07 PM,76,12,102,27,31,2,250
Honolua Bay,HB1,3,21.0135516,-156.6395569,04/01/14,12:12 PM,16,0,192,0,40,2,250
Honolua Bay,HB1,4,21.0135983,-156.6393916,04/01/14,12:19 PM,59,1,180,0,8,2,250
Honolua Bay,HB1,5,21.0136074,-156.6393123,04/01/14,12:26 PM,39,0,194,0,13,4,250
Honolua Bay,HB2,1,21.0138428,-156.6398964,04/01/14,12:39 PM,45,9,161,20,15,0,250
Honolua Bay,HB2,2,21.0138281,-156.6397985,04/01/14,12:45 PM,32,16,173,6,19,4,250
Honolua Bay,HB2,3,21.0138834,-156.6395393,04/01/14,12:53 PM,72,0,164,0,13,1,250
Honolua Bay,HB2,4,21.0138614,-156.6395289,04/01/14,1:00 PM,17,0,207,6,20,0,250
Honolua Bay,HB2,5,21.0139270,-156.6393562,04/01/14,1:05 PM,23,0,216,0,5,6,250
Maalaea Bay,MB1,1,20.7919680,-156.5094420,03/30/14,10:53 AM,0,101,1,5,143,0,250
Maalaea Bay,MB1,2,20.7920570,-156.5092850,03/30/14,11:26 AM,0,131,7,17,95,0,250
Maalaea Bay,MB1,3,20.7922430,-156.5090850,03/30/14,11:33 AM,0,212,0,4,34,0,250
Maalaea Bay,MB1,4,20.7922650,-156.5089910,03/30/14,11:44 AM,0,147,8,5,90,0,250
Maalaea Bay,MB1,5,20.7923910,-156.5088600,03/30/14,11:55 AM,0,193,7,35,15,0,250
Maalaea Bay,MB2,1,20.7927180,-156.5083460,03/30/14,12:30 PM,0,73,38,12,127,0,250
Maalaea Bay,MB2,2,20.7928220,-156.5081990,03/30/14,12:41 PM,0,122,17,36,75,0,250
Maalaea Bay,MB2,3,20.7928440,-156.5081050,03/30/14,12:57 PM,0,123,14,22,91,0,250
Maalaea Bay,MB2,4,20.7930520,-156.5078110,03/30/14,1:03 PM,0,61,21,7,161,0,250
Maalaea Bay,MB2,5,20.7931330,-156.5077580,03/30/14,1:12 PM,0,92,33,28,97,0,250
Kuau Bay,TV1,1,20.9257700,-156.3704300,04/04/14,11:50 AM,0,172,0,0,78,0,250
Kuau Bay,TV1,2,20.9258884,-156.3703211,04/04/14,11:42 AM,0,179,2,2,67,0,250
Kuau Bay,TV1,3,20.9259900,-156.3702600,04/04/14,11:35 AM,0,190,0,0,56,4,250
Kuau Bay,TV1,4,20.9261870,-156.3700637,04/04/14,11:30 AM,0,185,0,5,60,0,250
Kuau Bay,TV1,5,20.9263529,-156.3700025,04/04/14,9:50 AM,0,205,0,8,34,3,250
